ZCTA,Corresponding Counties,Total Estimated Population,2010 Child Population Estimate (Under 18),2011 Child Population Estimate (Under 18),2012 Child Population Estimate (Under 18),2013 Child Population Estimate (Under 18),2014 Child Population Estimate (Under 18),2010 - 2014 Aggregated Child Population Estimate (under 18),2010 Child Population Estimate (5 and Under),2011 Child Population Estimate (5 and Under),2012 Child Population Estimate (5 and Under),2013 Child Population Estimate (5 and Under),2014 Child Population Estimate (5 and Under)-Please calculate a mean estimate for 2014,2010 - 2014 Aggregated Child Population Estimate (5 and Under)-Estimate the pop mean average for 2010-2014,Not Hispanic or Latino,"Non-Hispanic, White Alone","Non-Hispanic, Black or African American Alone","Non-Hispanic, American Indian and Alaska Native Alone","Non-Hispanic, Asian Alone","Non-Hispanic, Native Hawaiian and Pacific Islander Alone","Non-Hispanic, Other Alone","Non-Hispanic, Two or More Races",Hispanic or Latino,"Hispanic or Latino, White Alone","Hispanic or Latino, Black or African American Alone","Hispanic or Latino, American Indian and Alaska Native Alone","Hispanic or Latino, Asian Alone","Hispanic or Latino, Native Hawaiian and Pacific Islander Alone","Hispanic or Latino, Other Alone","Hispanic or Latino, Two or More Races",Total Estimated Households,"Estimated Family Households with Female Householder,No Husband Present, Children < 18",Total Estimated Child Population Under 18,Total Children in Poverty Under 18,Rate of Child Poverty Under 18,Total Poverty for Children under 3,poverty children 4 and 5,Poverty 5 years,Total Estimated Children 5 and Under,Under 5 in poverty (male),5 Years in poverty (male),6 to 11 in Poverty (male),12 to 14 in Poverty (male),15 years in Poverty (male),16 and 17 in Poverty (male),Under 5 in Poverty (female),5 Years in Poverty (female),6 to 11 in Poverty (female),12 to 14 in Poverty (female),15 years in Poverty (female),16 and 17 in Poverty (female),Children 5 and under in poverty,Rate of Child Poverty 5 and Under,Column172,Birth and Married,No Birth and Married,Birth and Unmarried,No Birth and Unmarried,Number of Teen Births (15-19yrs),Total Female Population (15-19yrs),Weighted Teen Birth (999 as no data),Rate of Teen Birth(15-19yrs),Column1,Zipcode,Unique Clients Admitted for Substance Abuse Treatment (*=supressed),Number of state funded substance abuse service types utilized within a zip code,Drug- Related Offenses,Family Violence Offenses (2014),Rate of Substane Abuse Treatments,Child Abuse and Neglect Related Fatalities (2010-2014),5yr. Aggregated Child Population Estimate (2010 - 2014),Rate of Child Abuse and Neglect Related Fatalities (Under 18),Total Substantiated Child Abuse Cases (Under age 18),5yr. Aggregated Child Population Estimate (under 18) 2010 - 2014,Rate of Substantiated Child Abuse Cases (Under age 18),Total Substantiated Child Abuse Cases (5 and Under),Rate of Substantiated Child Abuse Cases (5 and Under),Poverty Ranking for Children < 18,Poverty Ranking for Children < 5,Teen Birth Ranking (15-19yrs),Substance Abuse Ranking,Child Abuse and Neglect Related Fatalities Ranking,Substantiated Child Abuse Ranking < 18,Substantiated Child Abuse Ranking < 6,Mean of Rankings (all),Final Risk Ranking,geometry
77036,Harris County,68373,20709,18165,20091,20934,20289,20038,7450,7910,8566,8871,8359,8231,28529,6242,11002,80,10501,0,43,661,39844,31144,510,86,52,0,7788,264,22928,2741,20092,10139,50.50%,4424,2880,1262,8566,2076,361,1641,761,84,375,1897,348,1482,771,98,245,4682,55.00%,ZCTA5 77036,120,56,17,1505,137,1698,0.080683157,8.10%,ZCTA5 77036,77036,75,11,,,0.423076923,9,20038,0.000449154,527,20038,0.026300487,279,0.033895109,1716,1608,1335,1334,1703,485,527,1244,1637,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.557727,29.685975,0.0 -95.557727,29.717867,0.0 -95.539032,29.720616,0.0 -95.501091,29.722816,0.0 -95.491193,29.723916,0.0 -95.491743,29.723366,0.0 -95.556078,29.66343,0.0 -95.557727,29.685975,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77037,Harris County,20152,6736,7049,7112,7154,7060,7022,2019,2247,2184,2170,2179,2160,2759,2195,224,0,274,0,0,66,17393,16104,54,57,0,0,1147,31,5196,842,7112,3745,52.70%,1109,600,475,2184,356,108,783,282,45,180,445,70,736,310,54,376,979,45.00%,ZCTA5 77037,0,32,64,1030,64,1126,0.056838366,5.70%,ZCTA5 77037,77037,36,9,,,0.346153846,0,7022,0,108,7022,0.015379743,52,0.024075939,1736,1469,1211,1560,651.5,277,408,1044.642857,1276,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.370222,29.892726,0.0 -95.365823,29.87623,0.0 -95.408163,29.869631,0.0 -95.412562,29.898224,0.0 -95.412562,29.931767,0.0 -95.372421,29.902074,0.0 -95.370222,29.892726,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77038,Harris County,28182,9504,9705,10046,9873,9840,9794,2821,3318,3454,3261,3282,3227,8958,2025,4617,33,2176,0,0,107,19224,16217,185,206,65,0,2389,162,7503,1178,10046,3792,37.70%,1669,1201,584,3454,507,190,692,270,84,147,542,71,449,512,39,289,1310,38.00%,ZCTA5 77038,0,82,89,964,89,1135,0.078414097,7.80%,ZCTA5 77038,77038,29,6,,,0.230769231,1,9794,0.000102108,151,9794,0.015418248,87,0.026958393,1495,1318,1323,1308,1371,275,425,1073.571429,1341.5,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.464249,29.898224,0.0 -95.4637,29.937815,0.0 -95.4604,29.937815,0.0 -95.414761,29.941114,0.0 -95.412562,29.931767,0.0 -95.412562,29.898224,0.0 -95.464249,29.898224,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77039,Harris County,28151,9357,8433,8780,9343,9091,9001,2792,3017,2940,3060,2982,2958,5365,2249,2580,163,305,0,0,68,22786,18865,20,0,17,0,3527,357,7149,884,8785,3657,41.60%,1597,817,526,2940,582,116,679,289,96,169,647,140,521,277,51,90,1485,51.00%,ZCTA5 77039,6,39,62,948,68,1055,0.064454976,6.40%,ZCTA5 77039,77039,33,9,,,0.346153846,1,9001,0.000111101,215,9001,0.023886624,116,0.039213828,1575,1548,1250,1383,1399,438,622,1173.571429,1524.5,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.372421,29.902074,0.0 -95.380119,29.932866,0.0 -95.306987,29.91857,0.0 -95.295439,29.91857,0.0 -95.306437,29.891076,0.0 -95.370222,29.892726,0.0 -95.372421,29.902074,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77040,Harris County,44762,12310,11212,11291,11628,11735,11635,3830,4521,4364,4271,4321,4261,24150,14484,6084,71,2969,0,94,448,20612,13632,121,236,26,0,6142,455,16076,1340,11296,2898,25.70%,2122,1485,757,4364,568,29,623,100,84,84,415,95,560,162,57,121,1107,25.00%,ZCTA5 77040,0,101,33,1596,33,1730,0.019075145,1.90%,ZCTA5 77040,77040,46,12,,,0.461538462,0,11635,0,240,11635,0.02062696,138,0.032384402,1141,946,957,1313,651.5,380,512,842.9285714,857,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.486794,29.865782,0.0 -95.50494,29.83389,0.0 -95.584671,29.890526,0.0 -95.584121,29.897675,0.0 -95.500541,29.899874,0.0 -95.486794,29.865782,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77041,Harris County,36805,10964,10644,10924,10866,10885,10857,2934,3581,3654,3543,3511,3445,20281,11302,3133,0,5355,0,0,491,16524,10757,32,246,60,0,4796,633,11384,671,10927,2010,18.40%,1770,1173,711,3654,425,49,301,160,28,119,122,42,358,133,89,184,638,17.00%,ZCTA5 77041,0,74,43,1228,43,1345,0.03197026,3.20%,ZCTA5 77041,77041,27,9,,,0.346153846,0,10857,0,155,10857,0.014276978,76,0.022063347,815,691,1046,1153,651.5,252,363,710.2142857,613,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.50494,29.83334,0.0 -95.54508,29.83224,0.0 -95.575873,29.83169,0.0 -95.625361,29.879529,0.0 -95.619863,29.914721,0.0 -95.584671,29.890526,0.0 -95.50494,29.83389,0.0 -95.50494,29.83334,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77042,Harris County,36583,7480,6642,6944,7267,7175,7102,2947,2865,3186,3411,3164,3115,26692,12339,10562,161,2916,0,142,572,9891,5661,281,0,61,0,3301,587,17293,1275,6945,1631,23.50%,1761,994,431,3186,447,27,150,101,77,78,318,74,287,48,8,16,866,27.00%,ZCTA5 77042,0,0,0,526,0,526,0,0.00%,ZCTA5 77042,77042,27,5,,,0.192307692,0,7102,0,174,7102,0.024501427,106,0.034033372,1056,998,425.5,1174,651.5,452,534,755.8571429,689,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.557727,29.717867,0.0 -95.571474,29.716767,0.0 -95.576423,29.736563,0.0 -95.577523,29.766806,0.0 -95.558827,29.763506,0.0 -95.543981,29.753059,0.0 -95.539032,29.720616,0.0 -95.557727,29.717867,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77043,Harris County,23396,5967,5337,6315,5742,5943,5861,1824,2057,2267,2124,2114,2077,12583,9469,982,50,1841,0,92,149,10813,8206,0,0,0,13,2460,134,8183,686,6329,2187,34.60%,1173,637,457,2267,290,48,367,230,0,191,276,73,251,197,107,157,687,30.00%,ZCTA5 77043,26,45,62,885,88,1018,0.086444008,8.60%,ZCTA5 77043,77043,20,9,,,0.346153846,1,5861,0.000170627,140,5861,0.023887722,67,0.032254379,1433,1096,1354,1214,1472,392,489,1064.285714,1327,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.563226,29.784401,0.0 -95.58907,29.79045,0.0 -95.575873,29.83169,0.0 -95.54508,29.83224,0.0 -95.544531,29.794299,0.0 -95.543981,29.784401,0.0 -95.563226,29.784401,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77044,Harris County,33672,10643,10028,10753,11743,10969,10827,3294,3709,3876,4387,3930,3839,18915,9399,8329,15,689,0,13,470,14757,11132,343,153,43,0,2912,174,9901,1030,10753,2441,22.70%,1997,1389,490,3876,337,0,454,278,0,97,348,75,444,276,0,132,760,20.00%,ZCTA5 77044,0,38,91,1041,91,1170,0.077777778,7.80%,ZCTA5 77044,77044,35,10,,,0.384615385,2,10827,0.000184719,252,10827,0.02327462,112,0.029173412,1021,766,1320,1340,1514,418,477,979.4285714,1135,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.131578,29.987853,0.0 -95.094737,29.880629,0.0 -95.230005,29.824542,0.0 -95.247601,29.891626,0.0 -95.244301,29.920769,0.0 -95.211309,29.934516,0.0 -95.131578,29.987853,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77045,Harris County,32650,9882,9579,10237,10253,10068,10004,2773,2970,3121,2962,2992,2964,17141,1169,15569,31,305,0,0,67,15509,11905,115,0,21,0,3200,268,9382,1457,10258,4434,43.20%,1207,1590,324,3121,532,124,760,316,113,183,810,66,949,227,58,296,1532,49.00%,ZCTA5 77045,0,73,17,1466,17,1556,0.01092545,1.10%,ZCTA5 77045,77045,53,13,,,0.5,0,10004,0,254,10004,0.025390245,117,0.039478659,1608,1525,896,1530,651.5,446,593,1035.642857,1253,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.464799,29.615041,0.0 -95.4637,29.647484,0.0 -95.441155,29.656282,0.0 -95.396066,29.670578,0.0 -95.387268,29.632087,0.0 -95.41971,29.613392,0.0 -95.464799,29.615041,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77046,Harris County,1122,52,14,29,53,42,38,25,3,16,41,25,22,925,889,12,0,24,0,0,0,197,110,0,0,0,0,67,20,793,14,29,13,44.80%,16,0,0,16,0,0,0,0,0,0,0,0,0,13,0,0,0,0.00%,ZCTA5 77046,0,0,0,12,0,12,0,0.00%,ZCTA5 77046,77046,0,0,,,0,0,38,0,0,38,0,0,0,1635,119,425.5,226.5,651.5,72.5,103.5,461.9285714,227,
77047,Harris County,22334,5935,5390,5335,5701,5660,5604,1865,1815,2037,2104,1990,1962,16983,1620,14135,18,682,0,0,528,5351,3354,137,0,27,0,1474,359,7995,920,5338,993,18.60%,1185,490,362,2037,137,67,94,88,0,50,86,0,194,140,30,107,290,14.00%,ZCTA5 77047,0,18,29,620,29,667,0.043478261,4.30%,ZCTA5 77047,77047,40,8,,,0.307692308,0,5604,0,250,5604,0.044608725,125,0.063706626,825,592,1135,1577,651.5,991,972,963.3571429,1104,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.430707,29.583149,0.0 -95.41971,29.613392,0.0 -95.387268,29.632087,0.0 -95.356475,29.648034,0.0 -95.352076,29.585348,0.0 -95.386718,29.585898,0.0 -95.424109,29.580949,0.0 -95.430707,29.583149,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77048,Harris County,16025,4490,4177,4132,4367,4333,4300,1246,1216,1405,1345,1325,1307,12097,520,11266,26,73,0,0,212,3928,2424,117,0,0,0,1352,35,5322,854,4133,1645,39.80%,760,542,103,1405,428,10,202,134,21,160,164,39,291,101,37,58,641,46.00%,ZCTA5 77048,41,26,60,695,101,822,0.122871046,12.30%,ZCTA5 77048,77048,36,11,,,0.423076923,1,4300,0.000232566,255,4300,0.059304404,160,0.122382483,1541,1487,1462,1682,1570,1321,1514,1511,1878,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.297639,29.596346,0.0 -95.352076,29.585348,0.0 -95.356475,29.648034,0.0 -95.314685,29.655182,0.0 -95.305887,29.626039,0.0 -95.297639,29.596346,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77049,Harris County,29460,9433,9861,9888,9313,9697,9638,2747,3483,3550,3240,3346,3273,12647,4227,6775,64,1277,21,0,283,16813,12671,427,131,0,0,3195,389,8669,861,9888,2323,23.50%,1723,1298,529,3550,250,49,447,70,138,151,248,68,498,156,36,212,615,17.00%,ZCTA5 77049,0,23,0,1089,0,1112,0,0.00%,ZCTA5 77049,77049,35,7,,,0.269230769,1,9638,0.000103751,265,9638,0.027494067,118,0.036050396,1057,686,425.5,1380,1375,499,533,850.7857143,875,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.078791,29.825092,0.0 -95.158522,29.809695,0.0 -95.212959,29.805296,0.0 -95.229455,29.824542,0.0 -95.230005,29.824542,0.0 -95.094737,29.880629,0.0 -95.093637,29.865782,0.0 -95.078791,29.825092,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77050,Harris County,4188,1428,1695,1243,1039,1421,1365,477,651,494,356,525,501,1778,196,1582,0,0,0,0,0,2410,1619,8,48,10,0,725,0,1324,104,1243,301,24.20%,162,253,79,494,30,0,48,8,19,33,40,10,37,43,0,33,80,16.00%,ZCTA5 77050,0,0,15,93,15,108,0.138888889,13.90%,ZCTA5 77050,77050,*,2,,,0.076923077,0,1365,0,48,1365,0.035159876,32,0.063929167,1086,646,1488.5,778,651.5,784,1020,922,1023,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.295439,29.91857,0.0 -95.244301,29.920769,0.0 -95.247601,29.891626,0.0 -95.257498,29.882828,0.0 -95.306437,29.891076,0.0 -95.306437,29.891076,0.0 -95.295439,29.91857,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77051,Harris County,14782,4429,4231,3644,3867,4131,4060,1334,1506,1252,1387,1396,1375,13707,141,13391,47,12,0,9,107,1075,509,153,0,0,0,401,12,5682,1135,3646,1562,42.80%,559,516,177,1252,248,51,188,176,29,64,213,0,276,97,66,154,512,41.00%,ZCTA5 77051,0,0,62,673,62,735,0.084353741,8.40%,ZCTA5 77051,77051,37,13,,,0.5,4,4060,0.000985121,254,4060,0.062555163,133,0.096722118,1602,1387,1350,1714,1802,1445,1461,1537.285714,1892,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.396066,29.670578,0.0 -95.381769,29.674977,0.0 -95.353176,29.682675,0.0 -95.356475,29.648034,0.0 -95.387268,29.632087,0.0 -95.396066,29.670578,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77053,Fort Bend County;Harris County,31701,9338,10677,9361,9655,9915,9789,2545,3368,2982,3126,3092,3023,14810,1108,13131,110,91,0,33,337,16891,11128,20,171,0,0,5529,43,8853,853,9361,2426,25.90%,1423,987,572,2982,344,45,442,157,63,243,236,57,362,240,147,90,682,23.00%,ZCTA5 77053,0,22,123,1243,123,1388,0.088616715,8.90%,ZCTA5 77053,77053,35,10,,,0.384615385,1,9789,0.000102153,344,9789,0.03514066,165,0.054589933,1148,869,1362,1353,1385,730,857,1100.571429,1388,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.492293,29.5804,0.0 -95.475797,29.604594,0.0 -95.464799,29.615041,0.0 -95.41971,29.613392,0.0 -95.430707,29.583149,0.0 -95.492293,29.5804,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77054,Harris County,21668,2574,2747,2325,2542,2590,2556,1332,1481,1277,1494,1423,1401,19558,4985,8842,0,4985,0,132,614,2110,1402,190,16,0,0,502,0,11621,768,2338,531,22.70%,633,586,58,1277,135,0,58,6,14,24,101,22,48,112,11,0,258,20.00%,ZCTA5 77054,9,0,0,271,9,280,0.032142857,3.20%,ZCTA5 77054,77054,20,10,,,0.384615385,1,2556,0.000391288,156,2556,0.061040934,113,0.080633235,1022,784,1047,1242,1693,1405,1302,1213.571429,1590,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.413112,29.692573,0.0 -95.387268,29.699171,0.0 -95.381769,29.674977,0.0 -95.396066,29.670578,0.0 -95.441155,29.656282,0.0 -95.441155,29.656282,0.0 -95.413112,29.692573,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77055,Harris County,44281,11882,13560,13338,13078,13152,13002,3684,4649,4478,4740,4508,4412,18548,14617,1535,129,1813,21,0,433,25733,18806,62,253,0,3,6063,546,14427,1389,13342,5950,44.60%,2254,1567,657,4478,756,264,850,391,123,126,1056,114,1304,637,144,185,2190,49.00%,ZCTA5 77055,14,18,8,1209,22,1249,0.017614091,1.80%,ZCTA5 77055,77055,170,16,,,0.615384615,0,13002,0,240,13002,0.018458836,116,0.026292952,1629,1522,945,1823,651.5,317,436,1046.214286,1278,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.438406,29.783851,0.0 -95.543981,29.784401,0.0 -95.544531,29.794299,0.0 -95.493942,29.825642,0.0 -95.450503,29.794299,0.0 -95.438406,29.783851,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77056,Harris County,17263,2235,1835,1522,1818,1926,1867,778,736,689,932,810,789,15000,11567,861,18,2092,29,0,433,2263,1713,0,0,0,0,497,53,9422,69,1526,100,6.60%,492,128,69,689,0,0,23,23,12,27,0,0,0,15,0,0,0,0.00%,ZCTA5 77056,0,0,0,278,0,278,0,0.00%,ZCTA5 77056,77056,*,5,,,0.192307692,0,1867,0,11,1867,0.005891378,4,0.00506961,337,119,425.5,545,651.5,181,225,354.8571429,162,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.464249,29.725565,0.0 -95.476347,29.725015,0.0 -95.478546,29.771754,0.0 -95.456551,29.765706,0.0 -95.46095,29.726115,0.0 -95.464249,29.725565,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77057,Harris County,39903,6661,7120,7123,7043,7042,6998,2686,3394,3224,3360,3248,3182,24964,18927,2803,119,2444,31,18,622,14939,9438,136,10,0,0,5211,144,19888,1018,7123,2502,35.10%,2101,873,250,3224,599,114,277,48,0,79,869,0,385,56,0,75,1582,49.00%,ZCTA5 77057,0,32,15,346,15,393,0.038167939,3.80%,ZCTA5 77057,77057,34,8,,,0.307692308,0,6998,0,111,6998,0.015862207,73,0.022938547,1445,1524,1093.5,1212,651.5,283,388,942.4285714,1066,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.501091,29.722816,0.0 -95.500541,29.760207,0.0 -95.478546,29.771754,0.0 -95.476347,29.725015,0.0 -95.491193,29.723916,0.0 -95.501091,29.722816,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77058,Harris County,16099,2680,2342,2333,2476,2498,2466,957,968,865,1028,971,958,12006,9194,813,102,1668,0,8,221,4093,3474,133,0,53,0,348,85,8304,469,2333,515,22.10%,446,277,142,865,0,79,58,45,0,0,130,0,147,56,0,0,209,24.00%,ZCTA5 77058,0,0,0,263,0,263,0,0.00%,ZCTA5 77058,77058,20,8,,,0.307692308,1,2466,0.00040554,100,2466,0.040554004,56,0.058463254,994,906,425.5,1391,1694,890,1019,1045.642857,1277,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.128279,29.549057,0.0 -95.103535,29.583699,0.0 -95.090888,29.596346,0.0 -95.092537,29.57985,0.0 -95.056796,29.558955,0.0 -95.063944,29.558955,0.0 -95.095837,29.530361,0.0 -95.128279,29.549057,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77059,Harris County,18867,4804,5363,5228,5070,5176,5128,719,836,662,704,749,734,16901,11710,422,31,4182,0,0,556,1966,1841,0,23,0,0,75,27,5966,192,5228,29,0.60%,260,233,169,662,0,0,0,0,0,0,0,0,0,0,15,14,0,0.00%,ZCTA5 77059,0,0,0,759,0,759,0,0.00%,ZCTA5 77059,77059,*,4,,,0.153846154,0,5128,0,19,5128,0.003704962,11,0.014986873,168,119,425.5,533,651.5,149,322,338.2857143,150,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.103535,29.583699,0.0 -95.154123,29.591947,0.0 -95.150824,29.630988,0.0 -95.107934,29.634837,0.0 -95.090888,29.596346,0.0 -95.103535,29.583699,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77060,Harris County,44284,13833,14519,15917,15937,15314,15104,4992,6328,6834,6441,6349,6189,12622,2222,9924,11,346,0,0,119,31662,29601,67,110,0,0,1545,339,13059,2668,15931,8049,50.50%,3518,2158,1158,6834,1576,191,1299,588,126,281,1504,331,1412,398,74,269,3602,53.00%,ZCTA5 77060,11,24,241,1780,252,2056,0.122568093,12.30%,ZCTA5 77060,77060,58,11,,,0.423076923,2,15104,0.000132416,409,15104,0.027079005,212,0.034255408,1717,1582,1461,1417,1414,472,504,1223.857143,1609,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.414761,29.941114,0.0 -95.41971,29.965858,0.0 -95.41806,29.965858,0.0 -95.388367,29.965858,0.0 -95.380119,29.932866,0.0 -95.372421,29.902074,0.0 -95.412562,29.931767,0.0 -95.414761,29.941114,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77061,Harris County,24760,7286,6462,6739,7070,6980,6907,2467,2220,2469,2492,2444,2418,7940,2126,4619,0,1083,0,91,21,16820,12847,118,119,0,0,3415,321,8367,818,6741,2542,37.70%,1462,723,284,2469,417,78,440,165,61,123,470,31,343,179,88,147,996,40.00%,ZCTA5 77061,49,34,14,826,63,923,0.068255688,6.80%,ZCTA5 77061,77061,38,10,,,0.384615385,1,6907,0.000144772,186,6907,0.026927653,119,0.049205576,1494,1375,1279,1506,1457,518,753,1197.428571,1566,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.252,29.652433,0.0 -95.305887,29.626039,0.0 -95.314685,29.655182,0.0 -95.272345,29.679376,0.0 -95.252,29.652433,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77062,Harris County,25866,6186,5808,6009,6031,6047,6016,1404,1680,1904,1988,1809,1757,21734,15582,1510,168,3347,41,44,1042,4132,2718,17,19,0,0,1316,62,9684,714,6009,402,6.70%,833,659,412,1904,80,0,55,92,0,0,49,0,80,0,13,33,129,7.00%,ZCTA5 77062,0,51,18,1005,18,1074,0.016759777,1.70%,ZCTA5 77062,77062,17,9,,,0.346153846,1,6016,0.000166216,98,6016,0.016289197,42,0.023903499,343,384,943,1126,1486,293,381,708,606,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.128279,29.549057,0.0 -95.16732,29.590847,0.0 -95.154123,29.591947,0.0 -95.103535,29.583699,0.0 -95.128279,29.549057,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77063,Harris County,35961,5961,6182,6636,6644,6441,6373,2485,2918,3270,3171,3049,2979,24548,13563,6370,81,4085,0,98,351,11413,6996,126,103,0,0,3924,264,17321,829,6636,2180,32.90%,2095,720,455,3270,651,0,309,92,0,85,626,40,247,78,0,52,1317,40.00%,ZCTA5 77063,0,69,0,402,0,471,0,0.00%,ZCTA5 77063,77063,30,9,,,0.346153846,2,6373,0.000313835,88,6373,0.01380875,56,0.018801334,1394,1373,425.5,1197,1631,232,328,940.0714286,1057,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.543981,29.753059,0.0 -95.500541,29.760207,0.0 -95.501091,29.722816,0.0 -95.539032,29.720616,0.0 -95.543981,29.753059,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77064,Harris County,45932,12962,11886,11949,12434,12433,12333,3478,3588,3465,3705,3587,3565,28817,14643,5991,16,7345,7,225,590,17115,14084,225,117,85,0,2250,354,15382,1142,11949,1788,15.00%,1807,1007,651,3465,106,112,292,209,48,130,174,6,429,257,15,10,398,11.00%,ZCTA5 77064,0,1,42,1726,42,1769,0.023742227,2.40%,ZCTA5 77064,77064,16,9,,,0.346153846,2,12333,0.00016217,203,12333,0.016460226,94,0.026370463,678,507,988,910,1489,305,446,760.4285714,697,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.584121,29.897675,0.0 -95.584671,29.932866,0.0 -95.538482,29.965858,0.0 -95.525835,29.944414,0.0 -95.500541,29.899874,0.0 -95.584121,29.897675,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77065,Harris County,37344,9384,9564,9640,10198,9784,9714,2621,2861,2900,2762,2817,2792,27066,15508,6965,102,3690,0,286,515,10278,7168,48,34,51,0,2723,254,14192,1450,9650,1589,16.50%,1384,993,523,2900,252,0,370,58,70,144,131,20,272,184,28,60,403,14.00%,ZCTA5 77065,7,14,0,1300,7,1321,0.005299016,0.50%,ZCTA5 77065,77065,31,10,,,0.384615385,1,9714,0.000102944,222,9714,0.022853479,109,0.039037042,736,582,858,1213,1381,409,595,824.8571429,819,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.584121,29.897675,0.0 -95.584671,29.890526,0.0 -95.619863,29.914721,0.0 -95.628661,29.921319,0.0 -95.584671,29.952662,0.0 -95.584671,29.932866,0.0 -95.584121,29.897675,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77066,Harris County,31208,9077,8357,8449,8613,8704,8640,2285,2380,2566,2613,2500,2469,18615,5886,7138,92,4889,46,158,406,12593,10867,273,0,12,0,1232,209,9514,1049,8449,1817,21.50%,1274,895,397,2566,365,97,276,243,88,78,131,20,313,133,64,9,613,24.00%,ZCTA5 77066,0,25,0,1163,0,1188,0,0.00%,ZCTA5 77066,77066,20,5,,,0.192307692,0,8640,0,215,8640,0.024884256,115,0.046582694,958,901,425.5,1101,651.5,462,706,743.5714286,669,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.480196,29.964209,0.0 -95.4604,29.937815,0.0 -95.4637,29.937815,0.0 -95.525835,29.944414,0.0 -95.538482,29.965858,0.0 -95.498341,29.987853,0.0 -95.480196,29.964209,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
