ZCTA,Corresponding Counties,Total Estimated Population,2010 Child Population Estimate (Under 18),2011 Child Population Estimate (Under 18),2012 Child Population Estimate (Under 18),2013 Child Population Estimate (Under 18),2014 Child Population Estimate (Under 18),2010 - 2014 Aggregated Child Population Estimate (under 18),2010 Child Population Estimate (5 and Under),2011 Child Population Estimate (5 and Under),2012 Child Population Estimate (5 and Under),2013 Child Population Estimate (5 and Under),2014 Child Population Estimate (5 and Under)-Please calculate a mean estimate for 2014,2010 - 2014 Aggregated Child Population Estimate (5 and Under)-Estimate the pop mean average for 2010-2014,Not Hispanic or Latino,"Non-Hispanic, White Alone","Non-Hispanic, Black or African American Alone","Non-Hispanic, American Indian and Alaska Native Alone","Non-Hispanic, Asian Alone","Non-Hispanic, Native Hawaiian and Pacific Islander Alone","Non-Hispanic, Other Alone","Non-Hispanic, Two or More Races",Hispanic or Latino,"Hispanic or Latino, White Alone","Hispanic or Latino, Black or African American Alone","Hispanic or Latino, American Indian and Alaska Native Alone","Hispanic or Latino, Asian Alone","Hispanic or Latino, Native Hawaiian and Pacific Islander Alone","Hispanic or Latino, Other Alone","Hispanic or Latino, Two or More Races",Total Estimated Households,"Estimated Family Households with Female Householder,No Husband Present, Children < 18",Total Estimated Child Population Under 18,Total Children in Poverty Under 18,Rate of Child Poverty Under 18,Total Poverty for Children under 3,poverty children 4 and 5,Poverty 5 years,Total Estimated Children 5 and Under,Under 5 in poverty (male),5 Years in poverty (male),6 to 11 in Poverty (male),12 to 14 in Poverty (male),15 years in Poverty (male),16 and 17 in Poverty (male),Under 5 in Poverty (female),5 Years in Poverty (female),6 to 11 in Poverty (female),12 to 14 in Poverty (female),15 years in Poverty (female),16 and 17 in Poverty (female),Children 5 and under in poverty,Rate of Child Poverty 5 and Under,Column172,Birth and Married,No Birth and Married,Birth and Unmarried,No Birth and Unmarried,Number of Teen Births (15-19yrs),Total Female Population (15-19yrs),Weighted Teen Birth (999 as no data),Rate of Teen Birth(15-19yrs),Column1,Zipcode,Unique Clients Admitted for Substance Abuse Treatment (*=supressed),Number of state funded substance abuse service types utilized within a zip code,Drug- Related Offenses,Family Violence Offenses (2014),Rate of Substane Abuse Treatments,Child Abuse and Neglect Related Fatalities (2010-2014),5yr. Aggregated Child Population Estimate (2010 - 2014),Rate of Child Abuse and Neglect Related Fatalities (Under 18),Total Substantiated Child Abuse Cases (Under age 18),5yr. Aggregated Child Population Estimate (under 18) 2010 - 2014,Rate of Substantiated Child Abuse Cases (Under age 18),Total Substantiated Child Abuse Cases (5 and Under),Rate of Substantiated Child Abuse Cases (5 and Under),Poverty Ranking for Children < 18,Poverty Ranking for Children < 5,Teen Birth Ranking (15-19yrs),Substance Abuse Ranking,Child Abuse and Neglect Related Fatalities Ranking,Substantiated Child Abuse Ranking < 18,Substantiated Child Abuse Ranking < 6,Mean of Rankings (all),Final Risk Ranking,geometry
77068,Harris County,10306,2296,2173,2332,2339,2304,2289,634,738,808,837,777,759,7167,4216,2047,0,720,0,46,138,3139,2649,1,0,0,0,458,31,3747,344,2332,419,18.00%,351,289,168,808,101,0,62,71,0,57,0,13,56,29,21,9,114,14.00%,ZCTA5 77068,0,0,0,195,0,195,0,0.00%,ZCTA5 77068,77068,13,8,,,0.307692308,2,2289,0.000873801,143,2289,0.062476781,44,0.05798898,794,590,425.5,1407,1782,1307,840,1020.785714,1219,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.498341,29.987853,0.0 -95.512088,30.006549,0.0 -95.476347,30.024145,0.0 -95.4637,30.007099,0.0 -95.498341,29.987853,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77069,Harris County,16088,2991,2539,2512,2503,2695,2648,886,813,822,861,854,847,14112,10740,2316,174,694,0,15,173,1976,1634,55,0,0,0,215,72,7636,356,2512,416,16.60%,478,181,163,822,85,0,153,28,0,0,100,0,36,14,0,0,185,23.00%,ZCTA5 77069,0,0,0,259,0,259,0,0.00%,ZCTA5 77069,77069,*,5,,,0.192307692,0,2648,0,47,2648,0.017748576,27,0.031869495,745,862,425.5,548,651.5,330,531,584.7142857,379,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.538482,29.965858,0.0 -95.553328,29.992802,0.0 -95.512088,30.006549,0.0 -95.498341,29.987853,0.0 -95.498341,29.987853,0.0 -95.538482,29.965858,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77070,Harris County,46640,11475,11012,10863,10904,11134,11078,3436,3779,3880,3972,3825,3778,35722,23850,6464,91,4582,20,8,707,10918,9545,68,22,30,0,899,354,17932,1306,10878,1234,11.30%,2071,1396,413,3880,208,33,251,49,42,74,17,14,308,207,15,16,272,7.00%,ZCTA5 77070,0,17,0,1033,0,1050,0,0.00%,ZCTA5 77070,77070,28,7,,,0.269230769,1,11078,0.0000903,231,11078,0.020852945,110,0.029112403,540,391,425.5,1085,1355,379,470,663.6428571,509,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.584671,29.952662,0.0 -95.602817,29.996651,0.0 -95.570924,30.022495,0.0 -95.553328,29.992802,0.0 -95.538482,29.965858,0.0 -95.584671,29.932866,0.0 -95.584671,29.952662,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77071,Harris County,26520,6776,6618,6569,6770,6710,6689,1883,1989,1826,1898,1916,1902,20053,4146,13295,28,2115,0,0,469,6467,4563,306,37,0,37,1442,82,9646,1242,6569,1610,24.50%,874,737,215,1826,175,40,393,156,76,53,149,26,267,93,78,104,390,21.00%,ZCTA5 77071,0,0,61,899,61,960,0.063541667,6.40%,ZCTA5 77071,77071,50,12,,,0.461538462,0,6689,0,218,6689,0.032593117,115,0.060450685,1099,821,1242,1591,651.5,646,992,1006.071429,1191,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.517037,29.627139,0.0 -95.537382,29.641985,0.0 -95.528034,29.672778,0.0 -95.508789,29.675527,0.0 -95.508239,29.656282,0.0 -95.517037,29.627139,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77072,Harris County,56199,17454,15786,15561,15503,16308,16122,4996,5313,5415,5321,5307,5270,28941,4405,11786,105,11786,148,65,646,27258,15118,481,104,116,0,11078,361,17084,2429,15566,5792,37.20%,2874,1682,859,5415,1111,283,921,509,99,141,810,111,930,448,130,299,2315,43.00%,ZCTA5 77072,50,11,26,2044,76,2131,0.035664008,3.60%,ZCTA5 77072,77072,60,12,,,0.461538462,2,16122,0.000124051,440,16122,0.027291329,196,0.0371889,1485,1428,1076,1327,1424,535,574,1121.285714,1429,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.614364,29.684325,0.0 -95.614914,29.713468,0.0 -95.571474,29.716767,0.0 -95.557727,29.717867,0.0 -95.557727,29.685975,0.0 -95.614364,29.684325,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77073,Harris County,38406,12030,11999,13138,13216,12764,12629,3625,4061,4554,4810,4394,4289,19100,4647,12179,0,1220,63,115,876,19306,11363,221,103,0,0,7288,331,11160,1768,13138,3556,27.10%,2137,1668,749,4554,420,138,709,112,148,145,518,97,740,351,0,178,1173,26.00%,ZCTA5 77073,21,38,73,1054,94,1186,0.07925801,7.90%,ZCTA5 77073,77073,37,10,,,0.384615385,1,12629,0.0000792,398,12629,0.031513889,208,0.048498108,1200,955,1324,1287,1335,569,715,1055,1301,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.41806,29.965858,0.0 -95.428508,30.035692,0.0 -95.382869,30.041191,0.0 -95.370222,29.998851,0.0 -95.388367,29.965858,0.0 -95.41806,29.965858,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77074,Harris County,36939,10481,11514,10097,10147,10724,10593,3567,4334,3931,3685,3964,3896,16847,8287,6001,93,1844,25,30,567,20092,15075,101,51,0,0,4709,156,11794,1233,10113,4703,46.50%,1934,1324,673,3931,633,301,841,231,163,180,828,120,813,338,94,161,1882,48.00%,ZCTA5 77074,0,59,0,1231,0,1290,0,0.00%,ZCTA5 77074,77074,34,10,,,0.384615385,1,10593,0.0000944,261,10593,0.024639656,137,0.035162478,1664,1513,425.5,1267,1367,476,555,1038.214286,1260,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.491743,29.723366,0.0 -95.492843,29.689824,0.0 -95.508789,29.675527,0.0 -95.528034,29.672778,0.0 -95.561576,29.658481,0.0 -95.556078,29.66343,0.0 -95.491743,29.723366,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77075,Harris County,40010,12624,12603,12677,13315,12890,12822,3886,4934,4846,5286,4888,4768,14456,3431,8528,40,1981,0,51,425,25554,19994,145,100,0,0,4852,463,11884,1783,12678,3236,25.50%,2269,1966,611,4846,535,62,671,171,89,88,455,54,653,203,133,122,1106,23.00%,ZCTA5 77075,0,51,48,1547,48,1646,0.029161604,2.90%,ZCTA5 77075,77075,37,7,,,0.269230769,1,12822,0.000077992,204,12822,0.015910366,112,0.023490187,1135,868,1031,1266,1339,290,399,904,985,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.221207,29.62054,0.0 -95.266296,29.594696,0.0 -95.297639,29.596346,0.0 -95.305887,29.626039,0.0 -95.252,29.652433,0.0 -95.221207,29.62054,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77076,Harris County,34851,11397,10595,10985,12115,11435,11305,3551,3856,3869,4680,4110,4013,5760,2662,2749,0,342,0,0,7,29091,26098,179,0,0,0,2488,326,9180,1427,10985,5103,46.50%,1895,1281,693,3869,1034,64,890,263,46,252,703,203,874,393,95,286,2004,52.00%,ZCTA5 77076,65,34,162,1637,227,1898,0.119599579,12.00%,ZCTA5 77076,77076,54,13,,,0.5,1,11305,0.0000885,207,11305,0.018309683,121,0.030150679,1663,1568,1453,1525,1354,332,510,1200.714286,1571,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.403214,29.845987,0.0 -95.408163,29.869631,0.0 -95.365823,29.87623,0.0 -95.358674,29.846537,0.0 -95.403214,29.845987,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77077,Harris County,53158,10867,11428,12161,11657,11662,11555,3750,4654,5266,5073,4854,4719,42818,22765,12230,102,6063,57,214,1387,10340,7196,409,11,0,0,2396,328,23814,2093,12161,2114,17.40%,2632,1972,662,5266,383,59,244,197,102,90,393,57,332,148,90,19,892,17.00%,ZCTA5 77077,40,0,9,1262,49,1311,0.037376049,3.70%,ZCTA5 77077,77077,24,9,,,0.346153846,6,11555,0.000519252,213,11555,0.01843344,123,0.026062328,776,670,1088,984,1717,309,403,849.5714286,873,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.646806,29.735463,0.0 -95.643507,29.769555,0.0 -95.577523,29.766806,0.0 -95.576423,29.736563,0.0 -95.646806,29.735463,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77078,Harris County,16753,4887,5501,4982,5331,5248,5190,1415,2157,2006,2195,2034,1961,11119,636,10237,97,12,0,0,137,5634,3976,9,92,0,0,1540,17,4708,781,4982,2190,44.00%,1075,556,375,2006,392,79,275,103,83,225,544,72,267,62,20,68,1087,54.00%,ZCTA5 77078,0,0,20,561,20,581,0.034423408,3.40%,ZCTA5 77078,77078,41,12,,,0.461538462,2,5190,0.000385378,239,5190,0.046052697,148,0.075459187,1620,1602,1068,1711,1681,1022,1133,1405.285714,1808,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.229455,29.824542,0.0 -95.261347,29.810795,0.0 -95.288841,29.851485,0.0 -95.257498,29.882828,0.0 -95.247601,29.891626,0.0 -95.230005,29.824542,0.0 -95.229455,29.824542,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77079,Harris County,30669,8283,8308,7853,7505,8083,8006,2019,2463,2158,2243,2267,2230,25816,19828,2768,16,2543,0,0,661,4853,4299,20,14,7,0,438,75,12026,630,7853,607,7.70%,917,946,295,2158,25,43,127,43,45,44,73,0,131,52,5,19,141,7.00%,ZCTA5 77079,0,0,0,1053,0,1053,0,0.00%,ZCTA5 77079,77079,13,6,,,0.230769231,1,8006,0.0001249,112,8006,0.013988776,59,0.026456788,386,373,425.5,961,1419,255,450,609.9285714,408,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.558827,29.763506,0.0 -95.577523,29.766806,0.0 -95.643507,29.769555,0.0 -95.644607,29.785501,0.0 -95.58907,29.79045,0.0 -95.563226,29.784401,0.0 -95.558827,29.763506,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77080,Harris County,48734,13115,13965,13751,13746,13736,13663,4269,5735,5687,5255,5407,5271,14276,10554,2026,48,1281,0,0,367,34458,19324,105,754,31,0,13725,519,14926,1679,13751,5815,42.30%,2947,1942,798,5687,1004,115,1133,360,79,207,1136,158,771,416,92,344,2413,42.00%,ZCTA5 77080,64,189,50,1656,114,1959,0.058192956,5.80%,ZCTA5 77080,77080,56,12,,,0.461538462,2,13663,0.000146385,312,13663,0.022836038,142,0.026942375,1592,1419,1217,1363,1446,403,421,1123,1431,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.54508,29.83224,0.0 -95.50494,29.83334,0.0 -95.493942,29.825642,0.0 -95.544531,29.794299,0.0 -95.54508,29.83224,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77081,Harris County,42725,14088,12154,12351,12588,13015,12839,5368,5634,5681,5567,5597,5569,11733,4020,4622,3,2715,0,88,285,30992,22666,297,155,119,74,7268,413,15337,1841,12549,6798,54.20%,3028,1686,967,5681,1348,210,1274,398,141,232,1184,387,934,491,90,109,3129,55.00%,ZCTA5 77081,0,48,14,656,14,718,0.019498607,1.90%,ZCTA5 77081,77081,42,12,,,0.461538462,1,12839,0.0000779,291,12839,0.022664883,115,0.020648572,1746,1613,962,1277,1341,413,355,1101,1389,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.464249,29.725565,0.0 -95.484595,29.690923,0.0 -95.492843,29.689824,0.0 -95.491743,29.723366,0.0 -95.491193,29.723916,0.0 -95.476347,29.725015,0.0 -95.464249,29.725565,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77082,Harris County,49920,12032,10845,11577,11639,11647,11548,3986,4324,4436,4400,4338,4297,33680,12259,13857,9,6523,0,75,957,16240,10938,252,19,161,0,4622,248,19591,1705,11579,2675,23.10%,2143,1597,696,4436,309,240,584,163,77,187,513,52,154,216,17,163,1114,25.00%,ZCTA5 77082,0,17,0,1699,0,1716,0,0.00%,ZCTA5 77082,77082,49,10,,,0.384615385,4,11548,0.00034638,324,11548,0.028056804,173,0.040262661,1037,938,425.5,1284,1658,529,615,926.6428571,1030,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.614914,29.713468,0.0 -95.688047,29.70742,0.0 -95.692446,29.70742,0.0 -95.688047,29.710719,0.0 -95.646806,29.735463,0.0 -95.576423,29.736563,0.0 -95.571474,29.716767,0.0 -95.614914,29.713468,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
77083,Fort Bend County;Harris County,71810,21879,20318,21176,20621,21170,21033,5505,5908,6424,6463,6189,6098,45402,6824,20685,71,16904,25,193,700,26408,16212,265,27,47,38,9027,792,20411,2023,21176,4401,20.80%,3124,2182,1118,6424,274,88,772,281,97,153,632,141,961,462,79,461,1135,18.00%,ZCTA5 77083,26,0,94,2831,120,2951,0.040664182,4.10%,ZCTA5 77083,77083,52,11,,,0.423076923,1,21033,0.0000475,392,21033,0.01863755,166,0.027222825,920,699,1110,1150,1305,327,435,849.4285714,872,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-95.614364,29.684325,0.0 -95.616014,29.670028,0.0 -95.661653,29.676077,0.0 -95.688047,29.70742,0.0 -95.614914,29.713468,0.0 -95.614364,29.684325,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
